"DisplayName","Package","Version","Hide","Notes","Type"
"Microsoft.Azure.Management.PowerBIEmbedded","Microsoft.Azure.Management.PowerBIEmbedded","1.1.1-preview","","",""
"Microsoft.Azure.Management.PrivateDns","Microsoft.Azure.Management.PrivateDns","1.0.0","","",""
"Microsoft.Azure.Management.PrivateDns.Fluent","Microsoft.Azure.Management.PrivateDns.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Authorization","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Authorization","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Compute","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Compute","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Dns","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Dns","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.KeyVault","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.KeyVault","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Network","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Network","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.ResourceManager","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.ResourceManager","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Storage","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Storage","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Subscription","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Subscription","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Websites","Microsoft.Azure.Management.Profiles.hybrid_2018_03_01.Websites","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Authorization","Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Authorization","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Compute","Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Compute","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Dns","Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.Dns","0.9.0-preview","","",""
"Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.KeyVault","Microsoft.Azure.Management.Profiles.hybrid_2019_03_01.KeyVault","0.9.0-preview","","",""
